Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2020-09-17,Opening Price,198.210007,1Y
Goldman Sachs,GS,2020-09-18,Opening Price,195.009995,1Y
Goldman Sachs,GS,2020-09-21,Opening Price,189.899994,1Y
Goldman Sachs,GS,2020-09-22,Opening Price,194,1Y
Goldman Sachs,GS,2020-09-23,Opening Price,192,1Y
Goldman Sachs,GS,2020-09-24,Opening Price,188.979996,1Y
Goldman Sachs,GS,2020-09-25,Opening Price,192.960007,1Y
Goldman Sachs,GS,2020-09-28,Opening Price,197.779999,1Y
Goldman Sachs,GS,2020-09-29,Opening Price,198.160004,1Y
Goldman Sachs,GS,2020-09-30,Opening Price,198.679993,1Y
Goldman Sachs,GS,2020-10-01,Opening Price,201.529999,1Y
Goldman Sachs,GS,2020-10-02,Opening Price,195.339996,1Y
Goldman Sachs,GS,2020-10-05,Opening Price,201.929993,1Y
Goldman Sachs,GS,2020-10-06,Opening Price,204.25,1Y
Goldman Sachs,GS,2020-10-07,Opening Price,203.899994,1Y
Goldman Sachs,GS,2020-10-08,Opening Price,205.149994,1Y
Goldman Sachs,GS,2020-10-09,Opening Price,208.759995,1Y
Goldman Sachs,GS,2020-10-12,Opening Price,207.410004,1Y
Goldman Sachs,GS,2020-10-13,Opening Price,214.009995,1Y
Goldman Sachs,GS,2020-10-14,Opening Price,213.880005,1Y
Goldman Sachs,GS,2020-10-15,Opening Price,209.580002,1Y
Goldman Sachs,GS,2020-10-16,Opening Price,208.320007,1Y
Goldman Sachs,GS,2020-10-19,Opening Price,207.389999,1Y
Goldman Sachs,GS,2020-10-20,Opening Price,206.699997,1Y
Goldman Sachs,GS,2020-10-21,Opening Price,207.389999,1Y
Goldman Sachs,GS,2020-10-22,Opening Price,203.199997,1Y
Goldman Sachs,GS,2020-10-23,Opening Price,206.759995,1Y
Goldman Sachs,GS,2020-10-26,Opening Price,202.490005,1Y
Goldman Sachs,GS,2020-10-27,Opening Price,200,1Y
Goldman Sachs,GS,2020-10-28,Opening Price,191.309998,1Y
Goldman Sachs,GS,2020-10-29,Opening Price,189.800003,1Y
Goldman Sachs,GS,2020-10-30,Opening Price,189.509995,1Y
Goldman Sachs,GS,2020-11-02,Opening Price,192,1Y
Goldman Sachs,GS,2020-11-03,Opening Price,193.940002,1Y
Goldman Sachs,GS,2020-11-04,Opening Price,196.25,1Y
Goldman Sachs,GS,2020-11-05,Opening Price,199.649994,1Y
Goldman Sachs,GS,2020-11-06,Opening Price,204.339996,1Y
Goldman Sachs,GS,2020-11-09,Opening Price,214.490005,1Y
Goldman Sachs,GS,2020-11-10,Opening Price,215.25,1Y
Goldman Sachs,GS,2020-11-11,Opening Price,218.639999,1Y
Goldman Sachs,GS,2020-11-12,Opening Price,215.220001,1Y
Goldman Sachs,GS,2020-11-13,Opening Price,215.850006,1Y
Goldman Sachs,GS,2020-11-16,Opening Price,223.529999,1Y
Goldman Sachs,GS,2020-11-17,Opening Price,220.020004,1Y
Goldman Sachs,GS,2020-11-18,Opening Price,225,1Y
